chord_cm,N_fit,p_avg_MeV,sigma_R_pct,sigma_p_seed_pct,sigma_p_UKF_pct,bias_R_pct,bias_p_seed_pct,bias_p_UKF_pct
1.5,67,432.233,11.2557,10.7576,nan,2.39306,3.66159,nan
4.5,143,471.356,3.1535,3.07367,13.6016,1.71269,1.67696,66.0159
7.5,114,458.274,1.77749,0.013472,2.52013,0.499551,6.89551,-0.386553
10.5,215,334.766,2.25906,2.24951,4.69212,0.58166,0.600344,0.526576
13.5,256,413.695,3.22707,3.28097,5.06584,1.53938,1.48153,2.34595
16.5,200,531.367,3.21328,3.25219,4.92136,1.29142,1.35598,2.44747
19.5,97,640.263,2.68378,2.5894,4.12206,-0.31214,-0.249636,0.573705
22.5,1,770.389,nan,nan,nan,nan,nan,nan
25.5,3,557.333,nan,nan,nan,nan,nan,nan
28.5,0,0,nan,nan,nan,nan,nan,nan
