p_MeV,N_fit,sigma_R_pct,sigma_p_seed_pct,sigma_p_UKF_pct,bias_R_pct,bias_p_seed_pct,bias_p_UKF_pct
150,70,1.93941,2.12214,4.54017,0.673351,0.589216,1.49229
250,164,2.92229,3.1614,11.1156,0.361483,0.455743,-3.10188
350,188,2.79933,2.43972,10.8375,1.34603,1.45362,-1.462
450,231,2.96216,2.93417,5.06307,1.22132,1.19756,2.12752
550,208,3.40069,3.30728,3.37331,0.705649,0.782803,1.03837
650,202,3.10123,3.07804,4.02154,1.00005,1.02796,1.42661
750,48,2.48722,2.48722,42.8557,0.984424,0.984424,207.73
850,1,nan,nan,nan,nan,nan,nan
950,0,nan,nan,nan,nan,nan,nan
1050,0,nan,nan,nan,nan,nan,nan
