p_MeV,N_fit,sigma_R_pct,sigma_p_seed_pct,sigma_p_UKF_pct,bias_R_pct,bias_p_seed_pct,bias_p_UKF_pct
200,3,nan,nan,nan,nan,nan,nan
300,60,102.552,117.307,nan,-176.221,-223.630,nan
400,365,5.088,4.210,45.576,-1.843,-0.653,1.833
500,396,2.544,2.544,3.636,0.326,0.326,0.370
600,375,2.998,3.020,2.505,0.316,0.370,0.198
700,369,3.327,3.327,3.660,0.791,0.791,1.142
800,382,2.743,2.743,3.551,0.687,0.687,0.617
900,375,3.617,3.640,3.928,1.468,1.512,1.585
1000,387,3.455,3.455,3.974,1.891,1.891,2.135
1200,414,3.271,3.271,3.436,1.820,1.820,1.847
